"Latitude_WGS84";"Name";"AdmArea";"District";"Location";"NumberOfAccessPoints";"WiFiName";"CoverageArea";"FunctionFlag";"AccessFlag";"Password";"Longitude_WGS84";"global_id";"geodata_center";"geoarea";
"55.769308719";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Новая Басманная улица, дом 4, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.653084847";"276298117";"{""coordinates"":[37.653084847,55.769308719],""type"":""Point""}";"";
"55.769692198";"Городской Wi-Fi";"Центральный административный округ";"Красносельский район";"город Москва, Новая Басманная улица, дом 7";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.654458478";"276298119";"{""coordinates"":[37.654458478,55.769692198],""type"":""Point""}";"";
"55.765216921";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Старая Басманная улица, дом 13, строение 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.659378398";"276298121";"{""coordinates"":[37.659378398,55.765216921],""type"":""Point""}";"";
"55.767529404";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Старая Басманная улица, дом 22";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.666264797";"276298122";"{""coordinates"":[37.666264797,55.767529404],""type"":""Point""}";"";
"55.767096294";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Старая Басманная улица, дом 23/9, строение 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.664446511";"276298123";"{""coordinates"":[37.664446511,55.767096294],""type"":""Point""}";"";
"55.768620654";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Старая Басманная улица, дом 33";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.667454947";"276298124";"{""coordinates"":[37.667454947,55.768620654],""type"":""Point""}";"";
"55.768975817";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Старая Басманная улица, дом 34";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.668718073";"276298125";"{""coordinates"":[37.668718073,55.768975817],""type"":""Point""}";"";
"55.769269653";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Старая Басманная улица, дом 38/2, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.669297863";"276298126";"{""coordinates"":[37.669297863,55.769269653],""type"":""Point""}";"";
"55.773183423";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Бауманская улица, дом 33/2, строение 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.67890522";"276298127";"{""coordinates"":[37.67890522,55.773183423],""type"":""Point""}";"";
"55.772561377";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Бауманская улица, дом 33/2, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.678719016";"276298128";"{""coordinates"":[37.678719016,55.772561377],""type"":""Point""}";"";
