"Latitude_WGS84";"Name";"AdmArea";"District";"Location";"NumberOfAccessPoints";"WiFiName";"CoverageArea";"FunctionFlag";"AccessFlag";"Password";"Longitude_WGS84";"global_id";"Latitude_WGS84_en";"Name_en";"AdmArea_en";"District_en";"Location_en";"NumberOfAccessPoints_en";"WiFiName_en";"CoverageArea_en";"FunctionFlag_en";"AccessFlag_en";"Password_en";"Longitude_WGS84_en";"geodata_center";"geoarea";
"Широта в WGS-84";"Наименование";"Административный округ";"Район";"Месторасположение";"Количество точек доступа";"Имя Wi-Fi сети";"Зона покрытия (метры)";"Признак функционирования";"Условия доступа";"Пароль";"Долгота в WGS-84";"global_id";"Latitude_WGS84_en";"Name_en";"AdmArea_en";"District_en";"Location_en";"NumberOfAccessPoints_en";"WiFiName_en";"CoverageArea_en";"FunctionFlag_en";"AccessFlag_en";"Password_en";"Longitude_WGS84_en";"geodata_center";"geoarea";
"55.767529404";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Старая Басманная улица, дом 22";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.666264797";"276298117";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.767096294";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Старая Басманная улица, дом 23/9, строение 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.664446511";"276298119";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.768620654";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Старая Басманная улица, дом 33";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.667454947";"276298121";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.768975817";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Старая Басманная улица, дом 34";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.668718073";"276298122";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.769269653";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Старая Басманная улица, дом 38/2, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.669297863";"276298123";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.773183423";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Бауманская улица, дом 33/2, строение 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.67890522";"276298124";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.772561377";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Бауманская улица, дом 33/2, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.678719016";"276298125";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.772552394";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Бауманская улица, дом 33/2, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.67871932";"276298126";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.769931959";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Бауманская улица, дом 48/13";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.67904708";"276298127";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
